"","Age Group","2018-19","2019-20","2020-21","2021-22","2022-23"
"1","Overall",25.2,31.1,0.5,18.8,50.2
"2","0-17 years (Children)",73.2,91.6,2,55.6,162.9
"3","0-4 years",256.6,326.8,7.2,198.9,579.7
"4","0-<1 year",814.7,1013.5,18.7,617.5,1520.7
"5","1-4 years",120.6,159.7,4.4,99.5,341.4
"6","5-17 years",5.6,6.4,0.1,6.1,19.1
"7","5-11 years",8.5,10.1,0.2,9.4,31.3
"8","12-17 years",2.3,2.1,0,2.4,5.9
"9","18+ years (Adults)",11.6,14.2,0.1,8.6,19.8
"10","18-49 years",2.6,3.6,0.1,3,5.8
"11","18-29 years",1.6,2.3,0.1,2.6,4.3
"12","30-39 years",2.6,3.1,0.1,3.4,6.2
"13","40-49 years",3.9,5.7,0.1,3.2,7
"14","50-64 years",10.9,13.7,0.1,8.4,17.9
"15","65+ years",39.7,45.9,0.3,24.8,62.1
"16","65-74 years",23.7,27.4,0.3,15,38.9
"17","75+ years",63.5,73.6,0.3,40.5,96.1
"18","75-84 years",48.4,56.3,0.2,34.2,75.5
"19","85+ years",98.9,115.3,0.6,57.4,150.9
